name; id; formula; acting in self-defence; acting on anger; action consequence; action timing; action type; age; chapter; final effect on offender; number of previous offences; offence avenged; offence impact; offence type; offence weight; offender status; page; previous offence; reaction effect; reaction force; restraint exercised; restraint rationale; restraint type; revenge timing; target match
Grettir vs father (Kengála); evernote:///view/2147483647/s94/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/; temper management; 0; 1; 2; 3; 3; 1; 14.0; 2; 3.5; 1; ; 4; ; 3; 66.3; evernote:///view/2147483647/s94/c26d7d6d-517b-41c6-aa1b-75efb1727fde/c26d7d6d-517b-41c6-aa1b-75efb1727fde/; 0; 1; 1; 3; 5; 2; 0
Grettir gives Bjǫrn an ominous grin; evernote:///view/2147483647/s94/2d5220b1-959d-4d75-90bd-bfef9048b78d/2d5220b1-959d-4d75-90bd-bfef9048b78d/; X glotti að/við; 0; 0; 1; ; 1; 3; 21.0; 10; 6.5; 1; 3; 2; 4; 2; 85.7; evernote:///view/2147483647/s94/b658c774-18e2-4d89-8035-66969ae23eba/b658c774-18e2-4d89-8035-66969ae23eba/; 0; 1; 1; 9; 3; 3; 
Grettir vs Þorgeirr; evernote:///view/2147483647/s94/33f4b6b6-85f6-4e4d-9a87-1b565bc8190b/33f4b6b6-85f6-4e4d-9a87-1b565bc8190b/; temper management; 1; 0; 1; 0; 4; 7; 50.0; 3; 0.5; 0; ; 5; 4; 2; 127.7; 1; 2; 4; 1; 9; 2; 6; 1
Grettir ignores Bjǫrn’s cloak provocation; evernote:///view/2147483647/s94/ccd790b2-b585-4d0e-8cc1-219015b546ab/ccd790b2-b585-4d0e-8cc1-219015b546ab/; self-control; 0; 0; 1; ; 5; 3; 21.0; 10; 1.5; 1; ; 3; 3; 2; 84.3; evernote:///view/2147483647/s94/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/; 0; 1; 1; 10; 4; 5; 
Grettir gets angry at ball-game; evernote:///view/2147483647/s94/2df617b1-bea1-4293-8bdf-ec64c55dbad6/2df617b1-bea1-4293-8bdf-ec64c55dbad6/; X varð reiður; 0; 0; 1; ; 2; 2; 15.0; 8; 0.0; 1; 3; 4; 3; 2; 67.9; 0; 0; 2; 1; 8; 6; 1; 
Grettir ignores Þorbjǫrn the Traveller 1; evernote:///view/2147483647/s94/08ef5a4c-0f93-40f7-8292-3475ae2cfc47/08ef5a4c-0f93-40f7-8292-3475ae2cfc47/; no-reaction; 0; 0; 1; ; 0; 5; 37.0; 10; 0.5; 1; ; 2; 4; 2; 109.2; ; 0; 0; 1; 10; 7; 3; 
Grettir ignores Oddr’s horse prodding; evernote:///view/2147483647/s94/71002a5a-ed25-4e4d-b9d3-1986e52046f7/71002a5a-ed25-4e4d-b9d3-1986e52046f7/; lét sem sjá; 0; 0; 1; ; 0; 4; 29.0; 7; 0.0; 1; ; 3; 3; 2; 96.5; 0; 0; 0; 1; 10; 7; 2; 
Grettir scratches father; evernote:///view/2147483647/s94/c26d7d6d-517b-41c6-aa1b-75efb1727fde/c26d7d6d-517b-41c6-aa1b-75efb1727fde/; temper management; 0; 1; 2; 0; 7; 0; 14.0; 4; 2.5; 1; 3; 4; 3; 3; 65.6; evernote:///view/2147483647/s94/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/; 3; 4; 0; 0; 0; 0; 1
Grettir warns Þorbjǫrn the Traveller; evernote:///view/2147483647/s94/dc73d868-516c-486c-b4fc-98ab5142be3e/dc73d868-516c-486c-b4fc-98ab5142be3e/; temper management; 0; 0; 1; ; 5; 5; 37.0; 10; 2.5; 1; 3; 2; 4; 2; 109.4; evernote:///view/2147483647/s94/92185793-1c39-48cb-9893-a2fb0d5eab68/92185793-1c39-48cb-9893-a2fb0d5eab68/; 0; 1; 1; 8; 4; 3; 
Glaum lets fire die out; evernote:///view/2147483647/s94/80ef92b8-6383-4dc8-acd6-7ae999a1338f/80ef92b8-6383-4dc8-acd6-7ae999a1338f/; temper management; 0; 0; 1; ; 5; 9; 74.0; 0; 0.5; 0; 2; 1; 3; 1; 165.0; 1; 0; 2; 1; 4; 4; 6; 
Grettir's verse warning to Þorbjǫrn the Traveller; evernote:///view/2147483647/s94/47ee58d1-d833-41ea-a23c-3363426ae221/47ee58d1-d833-41ea-a23c-3363426ae221/; temper management; 0; 0; 1; ; 5; 5; 37.0; 10; 3.5; 1; 3; 2; 4; 2; 109.6; evernote:///view/2147483647/s94/dc73d868-516c-486c-b4fc-98ab5142be3e/dc73d868-516c-486c-b4fc-98ab5142be3e/; 0; 1; 1; 8; 4; 3; 
Grettir ignores Þorbjǫrn the Traveller 2; evernote:///view/2147483647/s94/92185793-1c39-48cb-9893-a2fb0d5eab68/92185793-1c39-48cb-9893-a2fb0d5eab68/; gefa sér ekki/fátt; 0; 0; 1; ; 0; 5; 37.0; 10; 1.5; 1; ; 2; 4; 2; 109.3; evernote:///view/2147483647/s94/08ef5a4c-0f93-40f7-8292-3475ae2cfc47/08ef5a4c-0f93-40f7-8292-3475ae2cfc47/; 0; 0; 1; 10; 7; 3; 
Snorri goði’s son shuns Grettir’s truce; evernote:///view/2147483647/s94/589e02a9-432d-4e5c-99a5-86d2d1701b71/589e02a9-432d-4e5c-99a5-86d2d1701b71/; temper management; 1; 0; 0; 0; 4; 8; 68.0; 1; 3.0; 0; ; 6; 4; 2; 157.2; evernote:///view/2147483647/s94/00964167-c2f2-432f-91c4-7886d360ff51/00964167-c2f2-432f-91c4-7886d360ff51/; 1; 3; 1; 9; 2; 6; 1
Grettir spares thrall and vents rage on evil log; evernote:///view/2147483647/s94/143ea88a-8913-4ca4-8a04-1d3d8dc62c9f/143ea88a-8913-4ca4-8a04-1d3d8dc62c9f/; verða skapfátt; 0; 1; 6; 0; 3; 9; 79.0; 0; 1.5; 0; 3; 2; 3; 1; 171.5; evernote:///view/2147483647/s94/80ef92b8-6383-4dc8-acd6-7ae999a1338f/80ef92b8-6383-4dc8-acd6-7ae999a1338f/; 0; 6; 1; 4; 5; 6; 0
Grettir kills Skeggi (food-bag episode); evernote:///view/2147483647/s94/7421fd44-2665-4515-b1d1-068630869658/7421fd44-2665-4515-b1d1-068630869658/; temper management; 1; 0; 3; 0; 8; 2; 16.0; 10; 2.5; 1; 3; 6; 4; 1; 69.8; evernote:///view/2147483647/s94/90a915f8-e772-4659-9980-f3ab66aa6214/90a915f8-e772-4659-9980-f3ab66aa6214/; 7; 5; 0; 0; 0; 0; 1
Grettir angry for not invited to join Barði’s expedition; evernote:///view/2147483647/s94/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/; X varð reiður; 0; 1; 1; 0; 6; 4; 31.0; 0; 0.0; 0; 2; 0; 3; 2; 98.9; 0; 0; 2; 1; 1; 6; 6; 
